# 20 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

座;ザ;すわる;сидение,сидеть, садиться
庭;テイдвор;にわ;сад, двор
案;アン;;план, проект
格;カク、コウ;;ранг
根;コン;ね;корень, основание, основа, источник
残;ザン;のこる、のこす;оставаться,оставлять
殺;サツ、サイ、セツ;ころす;убивать
酒;シュ;さけ、さか;сакэ, спиртные напитки
消;ショウ;きえる、けす;гаснуть, тухнуть, исчезать
流;リュウ、ル;ながれる|ながす;течь, плыть, скитаться|лить, смывать
