# 09 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

対;タイ、ツイ;;против, сравнение, контраст, объект
局;キョク;;бюро
希;キ;;желание, надежда
形;ケイ、ギョウ;かた、かたち;форма, вид
役;ヤク、エキ;;служба, работа, роль
応;オウ;こたえる;откликаться, соответствовать
忘;ボウ;わすれる;забывать
技;ギ;わざ;искусство, мастерство
投;トウ;なげる;бросать, кидать
改;カイ;あらためる、あらたまる;изменять, исправлять
