# 33 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

増;ゾウ;ます、ふえる、ふやす;увеличивать[ся], прибавлять[ся]
察;サツ;;инспектировать
構;コウ;かまえる、かまう;строить,беспокоиться
様;ヨウ;さま;похожий,вид, стиль
歴;レキ;;карьера, биография, последовательно
演;エン;;исполнять, выступать
種;シュ;たね;разновидность,семя
管;カン;くだ;труба, трубка
算;サン;;счет, расчеты
練;レン;ねる;тренировать, шлифовать, закалять (сталь), месить (тесто, глину и т.п.)
