# 23 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

婦;フ;;взрослая женщина, суффикс женщины по профессии
寄;キ;よる、よせる;посещать, заходить, собирать, созывать
宿;シュク;やど、やどる、やどす;гостиница (японская),ночевать,давать приют
常;ジョウ;つね、とこ;обычный,постоянный,вечно
康;コウ;;здоровье
球;キュウ;たま;шар, мяч
得;トク;える、うる;получать, завоёвывать, мочь, быть в состоянии
情;ジョウ、セイ;なさけ;жалость, сострадание, тёплое чувство
授;ジュ;さずける、さずかる;награждать, обучать чему-л.
接;セツ;つぐ;соединять, скреплять
