# 22 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

配;ハイ;くばる;распределять, раздавать, рассыпать
降;コウ;おりる、おろす、ふる;спускаться,идти (об осадках)
馬;バ;うま、ま;лошадь, конь
健;ケン;すこやか;здоровый
側;ソク;がわ;сторона, бок, ряд
部;ブ;;часть, отделение, орган, экземпляр
副;フク;;копия, побочный, помощник, заместитель
務;ム;つとめる、つとまる;исполнять обязанности,подходить, годиться
商;ショウ;あきなう;торговать, вести дело
婚;コン;;брак, венчание
