# 27 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

晴;セイ;はれる、はらす;проясняться,разгонять (тоску)
晩;バン;;вечер
期;キ、ゴ;;срок, период
検;ケン;;расследовать
植;ショク;うえる、うわる;сажать (растения)
歯;シ;は;зуб
温;オン;あたたかい、あたたまる、あたためる;теплый,согревать, нагревать
減;ゲン;へる、へらす;уменьшаться
港;コウ;みなと;порт
湯;トウ;ゆ;горячая вода/источник, ванна, баня
