# 02 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

支;シ;ささえる;подпирать, поддерживать
欠;ケツ;かける、かく;недостача, отсутствие
王;オウ;;король
旧;キュウ;;прежний, старый
他;タ;ほか;другие, остальные, помимо того
付;フ;つける、つく;прикреплять, посыпать, прибавлять
令;レイ;;приказ, правила
加;カ;くわえる、くわわる;прибавлять, прилагать, наносить (удар)
包;ホウ;つつむ;обёртывать, заворачивать
号;ゴ;;номер, псевдоним
