# 17 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

独;ドク;ひとり;один (человек)
省;セイ、ショウ;かえりみる、はぶく;всматриваться в себя, рефлексировать
神;シン、ジン;かみ、かん、こう;синтоистское божество, бог
科;カ;;отделение, факультет
級;キュウ;;разряд, ранг
約;ヤク;;обещание, договор, экономить
美;ビ;うつくしい;красивый, прекрасный
草;ソウ;くさ;трава
要;ヨウ;かなめ、いる;суть, требоваться
負;フ;まける|まかす|おう;проигрывать|побеждать|быть должным
