# 25 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

経;ケイ、キョウ;へる;проходить (через)
細;サイ;ほそい、ほそる、こまかい、こまか;тонкий, узкий, мелкий, подробный
組;ソ;くむ、くみ;составлять, объединяться, группа, класс, набор
船;セン;ふね、ふな;корабль
術;ジュツ;;искусство, умение
規;キ;;правило, норма
設;セツ;もうける;оборудовать, устраивать, организовывать
責;セキ;せめる;упрекать, призывать к ответу
閉;ヘイ;とじる、とざす、しめる、しまる;закрывать
険;ケン;けわしい;крутой, обрывистый, суровый
