# 34 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

製;セイ;;делать, изготовлять, производить
認;ニン;みとめる;признавать, одобрять, замечать
関;カン;かかわる、せき;иметь отношение к чему-л.,преграда
際;サイ;きわ;край, конец, граница
静;セイ、ジョウ;しずか、しずまる、しずめる、しず;тихий, спокойный,успокаиваться
鼻;ビ;はな;нос, хобот, рыло, морда
器;キ;うつわ;сосуд, оборудование, инструмент
導;ドウ;みちびく;вести, направлять, руководить, показывать дорогу
横;オウ;よこ;бок, боковая сторона
権;ケン、ゴン;;право, власть
