# あ - Hiragana 1;;;
* Kana;Romanji;?Pronunciation;?Description
あ;a;a
い;i;i
う;u;ɯ
え;e;e
お;o;o
か;ka;ka
き;ki;ki
く;ku;kɯ
け;ke;ke
こ;ko;ko
さ;sa;sa
し;shi;ɕi
す;su;sɯ
せ;se;se
そ;so;so
た;ta;ta
ち;chi;tɕi
つ;tsu;tsɯ
て;te;te
と;to;to
な;na;na
に;ni;ɲi
ぬ;nu;nɯ
ね;ne;ne
の;no;no
は;ha;ha;'wa as particle
ひ;hi;çi
ふ;fu;ɸɯ
へ;he;he;'e' as particle
ほ;ho;ho
ま;ma;ma
み;mi;mi
む;mu;mɯ
め;me;me
も;mo;mo
や;ya;ja
ゆ;yu;jɯ
よ;yo;jo
ら;ra;ɾa
り;ri;ɾi
る;ru;ɾɯ
れ;re;ɾe
ろ;ro;ɾo
わ;wa;wa
ゐ;wi;wi
ゑ;we;we
を;o;o
ん;n;ɴ
